 ASCIIdec oct hex
     !33  41  21
     "34  42  22
     #35  43  23
     $36  44  24
     %37  45  25
     &38  46  26
     '39  47  27
     (40  50  28
     )41  51  29
     *42  52  2a
     +43  53  2b
     ,44  54  2c
     -45  55  2d
     .46  56  2e
     /47  57  2f
     048  60  30
     149  61  31
     250  62  32
     351  63  33
     452  64  34
     553  65  35
     654  66  36
     755  67  37
     856  70  38
     957  71  39
     :58  72  3a
     ;59  73  3b
     <60  74  3c
     =61  75  3d
     >62  76  3e
     ?63  77  3f
     @64 100  40
     A65 101  41
     B66 102  42
     C67 103  43
     D68 104  44
     E69 105  45
     F70 106  46
     G71 107  47
     H72 110  48
     I73 111  49
     J74 112  4a
     K75 113  4b
     L76 114  4c
     M77 115  4d
     N78 116  4e
     O79 117  4f
     P80 120  50
     Q81 121  51
     R82 122  52
     S83 123  53
     T84 124  54
     U85 125  55
     V86 126  56
     W87 127  57
     X88 130  58
     Y89 131  59
     Z90 132  5a
     [91 133  5b
     \92 134  5c
     ]93 135  5d
     ^94 136  5e
     _95 137  5f
     `96 140  60
     a97 141  61
     b98 142  62
     c99 143  63
     d100 144  64
     e101 145  65
     f102 146  66
     g103 147  67
     h104 150  68
     i105 151  69
     j106 152  6a
     k107 153  6b
     l108 154  6c
     m109 155  6d
     n110 156  6e
     o111 157  6f
     p112 160  70
     q113 161  71
     r114 162  72
     s115 163  73
     t116 164  74
     u117 165  75
     v118 166  76
     w119 167  77
     x120 170  78
     y121 171  79
     z122 172  7a
     {123 173  7b
     |124 174  7c
     }125 175  7d
     ~126 176  7e
